hillary	trump	bill	ideo	econ	partyid	relative
0	60	0	6	3	5	-60
70	30	70	3	4	5	40
30	60	40	4	2	5	-30
60	70	70	4	4	2	-10
40	0	85	3	2	3	40
85	15	100	3	2	3	70
0	85	15	6	3	7	-85
0	100	0	6	4	7	-100
0	60	0	6	4	7	-60
85	0	85	4	3	1	85
50	30	70	4	2	3	20
70	0	60	3	2	1	70
100	0	100	7	3	1	100
85	70	85	1	1	1	15
100	15	70	3	3	2	85
0	95	30	6	4	3	-95
15	85	50	4	2	5	-70
85	15	70	2	3	1	70
85	0	85	1	2	1	85
60	30	40	4	3	3	30
70	0	85	2	3	2	70
15	40	15	4	3	5	-25
30	15	40	4	3	6	15
0	85	0	6	3	5	-85
40	30	60	5	3	5	10
70	0	60	2	2	1	70
100	0	100	6	4	4	100
100	0	85	2	1	1	100
0	70	40	6	3	7	-70
100	0	70	4	3	1	100
30	60	60	6	4	6	-30
70	70	70	4	3	3	0
0	60	0	5	2	5	-60
0	100	0	5	5	7	-100
100	0	100	4	3	1	100
0	85	40	5	3	7	-85
60	0	60	2	3	3	60
40	50	30	6	3	7	-10
0	60	15	5	3	5	-60
40	60	50	6	3	7	-20
100	0	100	4	2	1	100
85	0	60	1	2	1	85
70	40	50	5	1	2	30
100	0	0	7	3	1	100
100	0	100	7	3	1	100
15	100	30	5	3	5	-85
0	0	0	2	2	3	0
30	70	30	5	3	7	-40
70	0	85	2	4	2	70
40	40	60	5	3	7	0
80	15	70	4	3	3	65
15	85	15	6	3	6	-70
20	20	30	4	5	7	0
85	0	70	3	3	1	85
0	85	0	7	5	7	-85
70	0	60	2	3	1	70
0	100	0	4	5	7	-100
80	20	10	7	4	1	60
60	0	85	2	3	1	60
70	30	60	4	3	6	40
0	0	85	3	3	4	0
0	85	0	7	3	7	-85
20	10	35	6	3	6	10
40	60	0	4	3	6	-20
40	70	30	6	3	6	-30
70	30	60	3	2	1	40
60	70	60	4	3	4	-10
70	40	70	5	3	2	30
0	30	15	6	3	4	-30
8	10	5	5	2	5	-2
30	60	15	5	4	5	-30
50	0	70	4	2	3	50
0	100	0	3	5	4	-100
15	15	50	6	4	5	0
0	85	0	5	5	6	-85
0	40	0	5	2	5	-40
0	0	0	7	5	7	0
0	15	50	4	3	5	-15
40	50	60	4	3	6	-10
100	0	100	4	3	1	100
15	70	15	6	4	5	-55
15	50	15	7	3	5	-35
85	0	100	3	1	2	85
40	40	30	4	2	4	0
80	50	75	1	2	1	30
0	30	50	5	3	5	-30
60	0	85	3	4	2	60
30	60	15	6	4	7	-30
60	70	85	5	3	6	-10
15	50	0	5	4	7	-35
30	0	60	2	3	3	30
60	50	60	1	1	3	10
85	0	70	4	4	1	85
85	0	60	1	2	1	85
70	0	60	2	2	2	70
0	100	0	6	4	7	-100
0	50	0	4	5	6	-50
15	70	30	6	4	7	-55
15	15	15	6	4	7	0
100	0	70	3	3	4	100
85	0	85	2	2	1	85
40	60	60	5	3	5	-20
60	0	70	3	3	3	60
0	70	15	4	4	5	-70
60	70	60	5	3	6	-10
85	10	75	2	2	1	75
15	70	15	5	4	7	-55
100	0	100	7	5	1	100
70	0	60	3	2	2	70
85	15	70	4	2	2	70
70	0	70	1	2	3	70
0	100	0	6	3	5	-100
0	40	30	6	3	6	-40
40	15	60	6	3	5	25
70	0	85	4	2	1	70
70	0	70	4	3	3	70
85	0	100	4	2	1	85
60	30	70	2	3	2	30
70	85	100	6	3	6	-15
85	0	70	6	5	1	85
50	50	50	4	3	6	0
0	90	0	5	3	5	-90
30	0	60	2	2	1	30
0	60	0	6	3	7	-60
40	40	40	5	2	4	0
85	0	85	2	3	2	85
15	30	50	5	3	6	-15
0	100	0	6	3	7	-100
85	50	100	5	2	2	35
60	0	0	4	3	5	60
50	50	50	4	3	1	0
85	15	85	2	3	1	70
100	0	85	2	3	1	100
60	15	60	4	3	3	45
50	0	85	2	2	3	50
0	70	15	5	4	6	-70
85	0	70	2	1	3	85
50	60	0	4	4	4	-10
30	85	70	4	4	7	-55
85	20	85	2	2	1	65
15	60	50	6	5	4	-45
60	0	60	6	2	6	60
85	0	60	2	2	1	85
60	0	50	2	3	2	60
100	0	50	2	5	1	100
